,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
1705,,Feeder 1,Jackdown,1.6666666666666667,5208.333333333334,ACTION,5486.167297561818,TurbineInstallation,TurbineInstallation,,,
1706,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,5486.571500446564,MonopileInstallation,MonopileInstallation,,,
1707,,WTIV,Attach Blade,1.5,18750.0,ACTION,5487.320630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1708,,WTIV,Jackdown,0.43333333333333335,5416.666666666667,ACTION,5487.753964228485,TurbineInstallation,TurbineInstallation,,40.0,132.0
1709,,WTIV,Position Onsite,5.0,62500.0,ACTION,5492.753964228485,TurbineInstallation,,,,
1710,,WTIV,Jackup,0.43333333333333335,5416.666666666667,ACTION,5493.187297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1711,,Feeder 1,Transit,8.01674486822009,25052.327713187784,ACTION,5494.184042430037,TurbineInstallation,,,,
1712,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5494.187297561817,TurbineInstallation,,,,
1713,,WTIV,Lift Tower Section,0.66,8250.0,ACTION,5494.847297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1714,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,5496.184042430037,TurbineInstallation,TurbineInstallation,,,
1715,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5496.847297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1716,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5497.847297561817,TurbineInstallation,,,,
1717,,Feeder 1,Fasten Tower Section,2.0,6250.0,ACTION,5498.184042430037,TurbineInstallation,TurbineInstallation,,,
1718,,WTIV,Lift Tower Section,1.32,16500.0,ACTION,5499.167297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1719,,Feeder 1,Fasten Nacelle,2.0,6250.0,ACTION,5500.184042430037,TurbineInstallation,TurbineInstallation,,,
1720,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5500.934042430037,TurbineInstallation,TurbineInstallation,,,
1721,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5501.167297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1722,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5501.684042430037,TurbineInstallation,TurbineInstallation,,,
1723,,WTIV,Release Nacelle,1.0,12500.0,ACTION,5502.167297561818,TurbineInstallation,,,,
1724,,Feeder 1,Fasten Blade,0.75,2343.75,ACTION,5502.434042430037,TurbineInstallation,TurbineInstallation,,,
1725,,WTIV,Reequip,1.0,12500.0,ACTION,5503.167297561818,TurbineInstallation,,,,
1726,,WTIV,Lift Nacelle,1.32,16500.0,ACTION,5504.487297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1727,,Feeder 0,Transit,37.11467868303137,115983.37088447304,ACTION,5505.165705706065,MonopileInstallation,,,,
1728,,Feeder 1,Queue,18.594205259500995,58106.89143594061,ACTION,5505.165705706065,MonopileInstallation,,Site,,
1729,,WTIV,Delay: Not enough vessels for monopiles,31.114678683031343,648222.4725631529,ACTION,5505.165705706065,MonopileInstallation,,Site,,
1730,,WTIV,Attach Nacelle,2.0,25000.0,ACTION,5506.487297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1731,,WTIV,Reequip,1.0,12500.0,ACTION,5507.487297561817,TurbineInstallation,,,,
1732,,WTIV,Release Blade,0.5,6250.0,ACTION,5507.987297561817,TurbineInstallation,,,,
1733,,WTIV,Lift Blade,1.32,16500.0,ACTION,5509.307297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1734,,WTIV,Position Onsite,5.0,104166.66666666666,ACTION,5510.165705706065,MonopileInstallation,,,,
1735,,Feeder 1,Transit,8.01674486822009,25052.327713187784,ACTION,5510.450787298258,TurbineInstallation,,,,
1736,,WTIV,Attach Blade,1.5,18750.0,ACTION,5510.807297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1737,,WTIV,Release Blade,0.5,6250.0,ACTION,5511.307297561818,TurbineInstallation,,,,
1738,,WTIV,Jackup,1.6666666666666667,34722.22222222222,ACTION,5511.832372372732,MonopileInstallation,MonopileInstallation,,40.0,
1739,,Feeder 1,Jackup,1.6666666666666667,5208.333333333334,ACTION,5512.117453964925,TurbineInstallation,TurbineInstallation,,,
1740,,WTIV,Lift Blade,1.32,16500.0,ACTION,5512.627297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1741,,WTIV,RovSurvey,1.0,20833.333333333332,ACTION,5512.832372372732,MonopileInstallation,MonopileInstallation,,40.0,
1742,,WTIV,Attach Blade,1.5,18750.0,ACTION,5514.127297561818,TurbineInstallation,TurbineInstallation,,40.0,132.0
1743,,WTIV,Release Blade,0.5,6250.0,ACTION,5514.627297561818,TurbineInstallation,,,,
1744,,Feeder 0,ActiveFeeder,30.12666666666678,94145.83333333368,ACTION,5514.627297561818,TurbineInstallation,,Site,,
1745,,Feeder 1,Queue,2.5098435968932336,7843.261240291355,ACTION,5514.627297561818,TurbineInstallation,,Site,,
1746,,WTIV,Lift Blade,1.32,16500.0,ACTION,5515.947297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1747,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,5516.293964228485,TurbineInstallation,TurbineInstallation,,,
1748,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,5517.165705706065,MonopileInstallation,MonopileInstallation,,,
1749,,WTIV,Attach Blade,1.5,18750.0,ACTION,5517.447297561817,TurbineInstallation,TurbineInstallation,,40.0,132.0
1750,,WTIV,Jackdown,0.43333333333333335,5416.666666666667,ACTION,5517.880630895151,TurbineInstallation,TurbineInstallation,,40.0,132.0
1751,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,5522.832372372732,MonopileInstallation,,,,
1752,,WTIV,Position Onsite,5.0,62500.0,ACTION,5522.880630895151,TurbineInstallation,,,,
1753,,WTIV,Jackup,0.43333333333333335,5416.666666666667,ACTION,5523.313964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1754,,WTIV,Upend Monopile,0.8819573087220198,18374.110598375413,ACTION,5523.714329681454,MonopileInstallation,MonopileInstallation,,40.0,
1755,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,5523.719329681454,MonopileInstallation,MonopileInstallation,,40.0,
1756,,Feeder 0,Transit,8.01674486822009,25052.327713187784,ACTION,5524.310709096704,TurbineInstallation,,,,
1757,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5524.313964228484,TurbineInstallation,,,,
1758,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,5524.719329681454,MonopileInstallation,MonopileInstallation,,40.0,
1759,,WTIV,Lift Tower Section,0.66,8250.0,ACTION,5524.973964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1760,,Feeder 0,Fasten Transition Piece,8.0,25000.0,ACTION,5525.165705706065,MonopileInstallation,MonopileInstallation,,,
1761,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,5525.919329681454,MonopileInstallation,MonopileInstallation,,40.0,
1762,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,5526.310709096704,TurbineInstallation,TurbineInstallation,,,
1763,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5526.973964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1764,,WTIV,Release Tower Section,1.0,12500.0,ACTION,5527.973964228484,TurbineInstallation,,,,
1765,,Feeder 0,Fasten Tower Section,2.0,6250.0,ACTION,5528.310709096704,TurbineInstallation,TurbineInstallation,,,
1766,,WTIV,Lift Tower Section,1.32,16500.0,ACTION,5529.293964228485,TurbineInstallation,TurbineInstallation,,40.0,132.0
1767,,Feeder 0,Fasten Nacelle,2.0,6250.0,ACTION,5530.310709096704,TurbineInstallation,TurbineInstallation,,,
1768,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5531.060709096704,TurbineInstallation,TurbineInstallation,,,
1769,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,5531.293964228485,TurbineInstallation,TurbineInstallation,,40.0,132.0
1770,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5531.810709096704,TurbineInstallation,TurbineInstallation,,,
1771,,WTIV,Release Nacelle,1.0,12500.0,ACTION,5532.293964228485,TurbineInstallation,,,,
1772,,Feeder 0,Fasten Blade,0.75,2343.75,ACTION,5532.560709096704,TurbineInstallation,TurbineInstallation,,,
1773,,WTIV,Reequip,1.0,12500.0,ACTION,5533.293964228485,TurbineInstallation,,,,
1774,,WTIV,Lift Nacelle,1.32,16500.0,ACTION,5534.613964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1775,,WTIV,Release Transition Piece,10.0,208333.3333333333,ACTION,5535.919329681454,MonopileInstallation,,,,
1776,,WTIV,Attach Nacelle,2.0,25000.0,ACTION,5536.613964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1777,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,5536.919329681454,MonopileInstallation,MonopileInstallation,,40.0,
1778,,Feeder 0,Fasten Monopile,12.0,37500.0,ACTION,5537.165705706065,MonopileInstallation,MonopileInstallation,,,
1779,,WTIV,Reequip,1.0,12500.0,ACTION,5537.613964228484,TurbineInstallation,,,,
1780,,WTIV,Lower TP,1.0,20833.333333333332,ACTION,5537.919329681454,MonopileInstallation,MonopileInstallation,,40.0,
1781,,WTIV,Release Blade,0.5,6250.0,ACTION,5538.113964228484,TurbineInstallation,,,,
1782,,WTIV,Lift Blade,1.32,16500.0,ACTION,5539.433964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1783,,Feeder 0,Transit,8.01674486822009,25052.327713187784,ACTION,5540.577453964925,TurbineInstallation,,,,
1784,,WTIV,Attach Blade,1.5,18750.0,ACTION,5540.933964228484,TurbineInstallation,TurbineInstallation,,40.0,132.0
1785,,WTIV,Release Blade,0.5,6250.0,ACTION,5541.433964228484,TurbineInstallation,,,,
1786,,WTIV,Bolt TP,4.0,83333.33333333333,ACTION,5541.919329681454,MonopileInstallation,MonopileInstallation,,40.0,
1787,,Feeder 0,Jackup,1.6666666666666667,5208.333333333334,ACTION,5542.244120631591,TurbineInstallation,TurbineInstallation,,,
1788,,WTIV,Lift Blade,1.32,16500.0,ACTION,5542.753964228485,TurbineInstallation,TurbineInstallation,,40.0,132.0
1789,,WTIV,Jackdown,1.6666666666666667,34722.22222222222,ACTION,5543.585996348121,MonopileInstallation,MonopileInstallation,,40.0,
1790,,WTIV,Attach Blade,1.5,18750.0,ACTION,5544.253964228485,TurbineInstallation,TurbineInstallation,,40.0,132.0
1791,,WTIV,Release Blade,0.5,6250.0,ACTION,5544.753964228485,TurbineInstallation,,,,
1792,,Feeder 1,ActiveFeeder,30.12666666666678,94145.83333333368,ACTION,5544.753964228485,TurbineInstallation,,Site,,
