,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,location,site_depth,hub_height
94,,WTIV,Attach Tower Section,2.0,25000.0,ACTION,2993.4657190444523,TurbineInstallation,TurbineInstallation,,40.0,122.0
95,,WTIV,Release Nacelle,1.0,12500.0,ACTION,2994.4657190444523,TurbineInstallation,,,,
96,,WTIV,Reequip,1.0,12500.0,ACTION,2995.4657190444523,TurbineInstallation,,,,
97,,WTIV,Lift Nacelle,1.22,15250.0,ACTION,2996.685719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
98,,WTIV,Release Monopile,10.0,208333.3333333333,ACTION,2998.46854725924,MonopileInstallation,,,,
99,,WTIV,Attach Nacelle,2.0,25000.0,ACTION,2998.685719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
100,,WTIV,Upend Monopile,0.8594532455150841,17905.275948230916,ACTION,2999.328000504755,MonopileInstallation,MonopileInstallation,,40.0,
101,,WTIV,Lower Monopile,0.005,104.16666666666666,ACTION,2999.333000504755,MonopileInstallation,MonopileInstallation,,40.0,
102,,WTIV,Reequip,1.0,12500.0,ACTION,2999.685719044452,TurbineInstallation,,,,
103,,WTIV,Release Blade,0.5,6250.0,ACTION,3000.185719044452,TurbineInstallation,,,,
104,,WTIV,Crane Reequip,1.0,20833.333333333332,ACTION,3000.333000504755,MonopileInstallation,MonopileInstallation,,40.0,
105,,WTIV,Lift Blade,1.22,15250.0,ACTION,3001.405719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
106,,WTIV,Drive Monopile,1.2,24999.999999999996,ACTION,3001.533000504755,MonopileInstallation,MonopileInstallation,,40.0,
107,,WTIV,Attach Blade,1.5,18750.0,ACTION,3002.905719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
108,,WTIV,Release Blade,0.5,6250.0,ACTION,3003.405719044452,TurbineInstallation,,,,
109,,WTIV,Lift Blade,1.22,15250.0,ACTION,3004.625719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
110,,WTIV,Attach Blade,1.5,18750.0,ACTION,3006.125719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
111,,WTIV,Release Blade,0.5,6250.0,ACTION,3006.625719044452,TurbineInstallation,,,,
112,,Feeder 0,ActiveFeeder,26.453333333333333,82666.66666666667,ACTION,3006.625719044452,TurbineInstallation,,Site,,
113,,Feeder 1,Queue,18.203333333333333,56885.416666666664,ACTION,3006.625719044452,TurbineInstallation,,Site,,
114,,WTIV,Lift Blade,1.22,15250.0,ACTION,3007.845719044452,TurbineInstallation,TurbineInstallation,,40.0,122.0
115,,Feeder 0,Jackdown,1.6666666666666667,5208.333333333334,ACTION,3008.2923857111186,TurbineInstallation,TurbineInstallation,,,
