,cost_multiplier,agent,action,duration,cost,level,time,phase,phase_name,num_vessels,num_ahts_vessels
971,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7613.936780661056,MooredSubInstallation,,,
972,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,7655.936780661056,MooredSubInstallation,,,
973,,Towing Group 2,Delay: No Completed Turbine Assemblies,494.867893131091,3505314.243011895,ACTION,7655.936780661056,MooredSubInstallation,,2.0,1.0
974,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,7663.936780661056,MooredSubInstallation,,,
975,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,7675.936780661056,MooredSubInstallation,,,
976,,Turbine Assembly Line 1,Delay,3.0,0.0,ACTION,7678.936780661056,MooredSubInstallation,,,
977,,Towing Group 2,Delay,24.0,170000.0,ACTION,7679.936780661056,MooredSubInstallation,,2.0,1.0
978,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7682.936780661056,MooredSubInstallation,,,
979,,Towing Group 2,Ballast to Towing Draft,6.0,42500.0,ACTION,7685.936780661056,MooredSubInstallation,,2.0,1.0
980,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7686.936780661056,MooredSubInstallation,,,
981,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,7698.936780661056,MooredSubInstallation,,,
982,,Towing Group 2,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,7702.185472772067,MooredSubInstallation,,2.0,1.0
983,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7702.436780661056,MooredSubInstallation,,,
984,,Towing Group 2,Position Substructure,2.0,14166.666666666668,ACTION,7704.185472772067,MooredSubInstallation,,2.0,1.0
985,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7705.936780661056,MooredSubInstallation,,,
986,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7709.436780661056,MooredSubInstallation,,,
987,,Towing Group 2,Ballast to Operational Draft,6.0,42500.0,ACTION,7710.185472772067,MooredSubInstallation,,2.0,1.0
988,,Towing Group 2,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7730.185472772067,MooredSubInstallation,,2.0,1.0
989,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7733.436780661056,MooredSubInstallation,,,
990,,Towing Group 2,Check Mooring Lines,6.0,42500.0,ACTION,7736.185472772067,MooredSubInstallation,,2.0,1.0
991,,Towing Group 2,Transit,6.383414757897432,45215.85453510682,ACTION,7742.568887529966,MooredSubInstallation,,2.0,1.0
992,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7781.936780661056,MooredSubInstallation,,,
993,,Turbine Assembly Line 1,Delay,51.0,0.0,ACTION,7784.436780661056,MooredSubInstallation,,,
994,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,7856.436780661056,MooredSubInstallation,,,
995,,Towing Group 3,Delay: No Completed Turbine Assemblies,525.867893131091,3724897.5763452286,ACTION,7856.436780661056,MooredSubInstallation,,2.0,1.0
996,,Towing Group 3,Ballast to Towing Draft,6.0,42500.0,ACTION,7862.436780661056,MooredSubInstallation,,2.0,1.0
997,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,7864.436780661056,MooredSubInstallation,,,
998,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,7876.436780661056,MooredSubInstallation,,,
999,,Towing Group 3,Tow Substructure,16.248692111011646,115094.90245299917,ACTION,7878.685472772067,MooredSubInstallation,,2.0,1.0
1000,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7880.436780661056,MooredSubInstallation,,,
1001,,Towing Group 3,Position Substructure,2.0,14166.666666666668,ACTION,7880.685472772067,MooredSubInstallation,,2.0,1.0
1002,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,7884.436780661056,MooredSubInstallation,,,
1003,,Towing Group 3,Ballast to Operational Draft,6.0,42500.0,ACTION,7886.685472772067,MooredSubInstallation,,2.0,1.0
1004,,Turbine Assembly Line 1,Lift and Attach Nacelle,12.0,0.0,ACTION,7896.436780661056,MooredSubInstallation,,,
1005,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7899.936780661056,MooredSubInstallation,,,
1006,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7903.436780661056,MooredSubInstallation,,,
1007,,Towing Group 3,"Connect Mooring Lines, Pre-tension and pre-stretch",20.0,141666.6666666667,ACTION,7906.685472772067,MooredSubInstallation,,2.0,1.0
1008,,Turbine Assembly Line 1,Lift and Attach Blade,3.5,0.0,ACTION,7906.936780661056,MooredSubInstallation,,,
1009,,Towing Group 3,Check Mooring Lines,6.0,42500.0,ACTION,7912.685472772067,MooredSubInstallation,,2.0,1.0
1010,,Towing Group 3,Transit,6.383414757897432,45215.85453510682,ACTION,7919.068887529966,MooredSubInstallation,,2.0,1.0
1011,,Turbine Assembly Line 1,Mechanical Completion,24.0,0.0,ACTION,7930.936780661056,MooredSubInstallation,,,
1012,,Substructure Assembly Line 1,Substructure Assembly,168.0,0.0,ACTION,7949.936780661056,MooredSubInstallation,,,
1013,,Turbine Assembly Line 1,Electrical Completion,72.0,0.0,ACTION,8002.936780661056,MooredSubInstallation,,,
1014,,Towing Group 1,Delay: No Completed Turbine Assemblies,494.867893131091,3505314.243011895,ACTION,8002.936780661056,MooredSubInstallation,,2.0,1.0
1015,,Towing Group 1,Ballast to Towing Draft,6.0,42500.0,ACTION,8008.936780661056,MooredSubInstallation,,2.0,1.0
1016,,Turbine Assembly Line 1,Move Substructure,8.0,0.0,ACTION,8010.936780661056,MooredSubInstallation,,,
1017,,Towing Group 1,Delay,13.0,92083.33333333334,ACTION,8021.936780661056,MooredSubInstallation,,2.0,1.0
1018,,Turbine Assembly Line 1,Prepare for Turbine Assembly,12.0,0.0,ACTION,8022.936780661056,MooredSubInstallation,,,
1019,,Turbine Assembly Line 1,Lift and Attach Tower Section,4.0,0.0,ACTION,8026.936780661056,MooredSubInstallation,,,
