,time,ahts_vessel:example_ahts_vessel,feeder:example_heavy_feeder_1kit,feeder:example_feeder,towing_vessel:example_towing_vessel,wtiv:example_heavy_lift_vessel,wtiv:example_wtiv,wtiv:example_wtiv_us,port:new_london,port:new_bedford,port:sbmt,port:njwp,port:searsport,port:tradepoint,port:portsmouth,port:salem,port:arthur_kill
225,2046-07-25 06:14:08.909494,2,4,3,10,0,0,1,1,1,1,0,1,1,0,1,1
226,2046-07-25 06:14:08.909494,2,4,3,10,0,1,1,1,1,1,0,1,1,0,1,1
227,2046-07-25 06:14:08.909494,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
228,2046-07-25 06:14:08.909494,2,4,4,10,0,1,1,1,1,1,0,1,1,0,1,1
229,2046-10-23 06:14:08.909494,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
230,2046-12-05 09:54:48.650873,2,3,3,10,0,0,1,1,0,1,0,1,1,1,1,1
231,2047-01-18 10:29:04.129613,2,3,3,10,0,1,1,1,0,1,0,1,1,1,1,1
232,2047-01-18 10:29:04.129613,2,3,4,10,0,1,1,1,0,1,0,1,1,1,1,1
233,2047-01-18 10:29:04.129613,2,3,4,10,0,1,1,1,0,1,0,1,1,1,1,1
234,2047-04-18 10:29:04.129613,2,3,4,10,0,1,1,1,0,1,1,1,1,1,1,1
235,2049-07-31 21:12:08.676871,2,2,3,10,0,1,0,1,0,0,1,1,1,1,1,1
236,2049-07-31 21:12:08.676871,2,3,3,10,0,1,0,1,0,0,1,1,1,1,1,1
237,2049-08-01 17:21:34.291362,2,3,3,10,0,2,0,1,0,0,1,1,1,1,1,1
238,2049-08-01 17:21:34.291362,2,3,4,10,0,2,0,1,0,0,1,1,1,1,1,1
239,2049-08-01 17:21:34.291362,2,3,4,10,0,2,0,1,0,0,1,1,1,1,1,1
240,2049-08-01 17:21:34.291362,2,3,4,10,0,2,0,1,0,0,1,1,1,1,1,1
241,2049-10-30 17:21:34.291362,2,3,4,10,0,2,0,1,1,0,1,1,1,1,1,1
242,2050-05-10 10:24:47.404371,2,3,3,10,0,1,0,1,1,0,0,1,1,1,1,1
243,2050-05-10 10:24:47.404371,2,4,3,10,0,1,0,1,1,0,0,1,1,1,1,1
244,2050-05-10 10:24:47.404371,2,4,3,10,0,1,1,1,1,0,0,1,1,1,1,1
245,2050-05-10 10:24:47.404371,2,4,4,10,0,1,1,1,1,0,0,1,1,1,1,1
246,2050-05-10 10:24:47.404371,2,4,4,10,0,1,1,1,1,0,0,1,1,1,1,1
247,2050-05-10 10:24:47.404371,2,4,4,10,0,1,1,1,1,0,0,1,1,1,1,1
248,2050-08-08 10:24:47.404371,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
249,2050-09-01 16:59:38.430035,2,4,4,10,1,1,1,1,1,1,0,1,1,1,1,1
250,2050-09-12 23:04:10.453364,2,4,4,10,1,2,1,1,1,1,0,1,1,1,1,1
251,2050-09-12 23:04:10.453364,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
252,2050-09-12 23:04:10.453364,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
253,2050-12-11 23:04:10.453364,2,4,5,10,0,2,0,1,1,1,0,1,1,1,1,1
254,2051-10-24 12:54:08.263247,2,4,5,10,1,2,0,1,1,1,0,1,1,1,1,1
255,2051-10-24 12:54:08.263247,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
256,2051-10-24 12:54:08.263247,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
257,2052-01-22 12:54:08.263247,2,4,4,10,0,1,1,1,1,1,0,1,1,1,1,1
258,2052-08-24 01:13:09.622885,2,4,4,10,1,1,1,1,1,1,0,1,1,1,1,1
259,2052-08-24 01:13:09.622885,2,4,4,10,1,2,1,1,1,1,0,1,1,1,1,1
260,2052-08-24 01:13:09.622885,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
261,2052-08-24 01:13:09.622885,2,4,5,10,1,2,1,1,1,1,0,1,1,1,1,1
